"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"360","Indonesia","000"," World",2008,203210000,,0,2,5,"","Carcasses & half-carcasses of swine, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,203220000,,0,2,5,"","Hams, shoulders & cuts thereof of swine with bone in, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,203290000,,0,2,5,"","Other meat of swine, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204100000,,0,2,5,"","Carcasses & half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204210000,,0,2,5,"","Carcasses & half-carcasses of sheep, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204220000,,0,2,5,"","Oth cuts with bone in of sheep, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204230000,,0,2,5,"","Other meat of sheep, boneless, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204300000,,0,2,5,"","Carcasses&half-carcasses of lamb, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204410000,,0,2,5,"","Carcasses & half-carcasses of sheep, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204420000,,0,2,5,"","Oth cuts with bone in of sheep, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204430000,,0,2,5,"","Other meat of sheep, boneless, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204500000,,0,2,5,"","Meat of goats, fresh, chilled or frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,2.05e+08,,0,2,5,"","Meat of horses,asses,mules or hinnies, fresh, chilled or frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,206100000,,0,2,5,"","Edible offal of bovine animals, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,206210000,,0,2,5,"","Tongues of bovine animals, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,206220000,,0,2,5,"","Livers of bovine animals, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,206290000,,0,2,5,"","Other edible offal of bovine animals, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,206300000,,0,2,5,"","Edible offal of swine,fresh or chilled ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,206410000,,0,2,5,"","Livers of swine, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,206490000,,0,2,5,"","Other edible offal of swine, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,206800000,,0,2,5,"","Edible offal of sheep, goats, horses, asses,mules or hinnies,fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,206900000,,0,2,5,"","Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207110000,,0,2,5,"","Meat & edible offal of the spec. gallus domstcs, not cut in piece, fresh/chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207120000,,0,2,5,"","Meat & edible offal of the spec. gallus domesticus, not cut in piece, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207130000,,0,2,5,"","Cuts & offal of fowls of the spec.gallus domesticus, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207141000,,0,2,5,"","Wings of fowls of the species gallus domesticus, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207142000,,0,2,25,"","Thighs of fowls of the species gallus domesticus, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207143000,,0,2,5,"","Livers of fowls of the species gallus domesticus, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207149000,,0,2,5,"","Oth cuts & offals of fowl of the species gallus domesticus, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207240000,,0,2,5,"","Meat and edible offal of turkeys, not cut in pieces, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207250000,,0,2,5,"","Meat and edible offal of turkeys, not cut in pieces, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207260000,,0,2,5,"","Cuts and offal of turkeys, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207271000,,0,2,5,"","Livers of turkeys, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207279000,,0,2,5,"","Oth cuts and offal of turkeys, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207321000,,0,2,5,"","Meat and edible offal of ducks,not cut in pieces, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207322000,,0,2,5,"","Meat and edible offal of geese/guinea fowls, not cut in pieces,fresh/chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207331000,,0,2,5,"","Meat and edible offal of ducks, not cut in pieces, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207332000,,0,2,5,"","Meat and edible offal of geese/guinea fowls, not cut in pieces, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207340000,,0,2,5,"","Fatty livers of ducks, geese or guinea fowls, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,207350000,,0,2,5,"","Oth cut & offal of ducks, geese/guinea fowls, fresh or chilled","MFN applied duty rates","A",,""
